IROWID,iVehicleID,vLat,vLong,vAccuracy,vDirection,dSpeed,vUpdateReason,dtLastUpdated,dtDeviceTime,vVehDirection
8136001,684,38.583221,-92.184319,10,235.36,17.04,APC,52:19.7,7/3/2024 6:52:13,SW
8136002,684,38.58313,-92.184555,10,243.74,28.34,APC,52:19.7,7/3/2024 6:52:16,SW
8136011,684,38.583038,-92.184937,10,252.88,41.48,APC,52:25.8,7/3/2024 6:52:19,W
8136012,684,38.583015,-92.185379,10,266.19,45.74,APC,52:25.8,7/3/2024 6:52:22,W
8136032,684,38.583004,-92.185806,10,268.11,44.08,APC,52:31.7,7/3/2024 6:52:25,W
8136033,684,38.582993,-92.18618,10,267.85,35.93,APC,52:31.8,7/3/2024 6:52:28,W
8136050,684,38.583,-92.186455,10,271.87,25.37,APC,52:37.7,7/3/2024 6:52:31,W
8136051,684,38.583004,-92.186592,10,272.14,7.78,APC,52:37.8,7/3/2024 6:52:34,W
8136052,684,38.583,-92.186584,10,122.6,0,APC,52:38.1,7/3/2024 6:52:37,SE
8136064,684,38.582993,-92.186592,10,221.78,0,APC,52:45.8,7/3/2024 6:52:40,SW
8136065,684,38.582989,-92.186584,10,122.6,0,APC,52:45.8,7/3/2024 6:52:43,SE
8136076,684,38.582989,-92.186577,10,90,0,APC,52:51.6,7/3/2024 6:52:46,E
8136077,684,38.582985,-92.186577,10,180,0,APC,52:51.7,7/3/2024 6:52:49,S
8136094,684,38.582989,-92.186584,10,306.17,0.93,APC,52:57.7,7/3/2024 6:52:52,NW
8136095,684,38.582993,-92.186623,10,277.47,4.26,APC,52:57.7,7/3/2024 6:52:55,W
8136103,684,38.582996,-92.186707,10,272.62,13.33,APC,53:03.7,7/3/2024 6:52:58,W
8136104,684,38.582989,-92.186874,10,266.93,20.74,APC,53:03.7,7/3/2024 6:53:01,W
8136105,684,38.582985,-92.187119,10,268.8,29.26,APC,53:05.2,7/3/2024 6:53:04,W
8136124,684,38.582973,-92.187439,10,267.25,35.74,APC,53:11.7,7/3/2024 6:53:07,W
8136125,684,38.582977,-92.187843,10,270.73,44.08,APC,53:11.8,7/3/2024 6:53:10,W
8136133,684,38.583035,-92.188309,10,279.05,50.37,APC,53:17.7,7/3/2024 6:53:13,W
8136134,684,38.583153,-92.188797,10,287.19,55.37,APC,53:17.8,7/3/2024 6:53:16,W
8136161,684,38.583336,-92.189301,10,294.91,59.45,APC,53:23.8,7/3/2024 6:53:19,NW
8136162,684,38.583561,-92.189819,10,299.06,62.78,APC,53:23.8,7/3/2024 6:53:22,NW
8136171,684,38.583786,-92.190353,10,298.33,63.15,APC,53:31.8,7/3/2024 6:53:25,NW
8136172,684,38.584015,-92.19088,10,299.07,63.15,APC,53:31.8,7/3/2024 6:53:28,NW
8136178,684,38.584236,-92.191414,10,297.9,63.52,APC,53:37.7,7/3/2024 6:53:31,NW
8136179,684,38.584457,-92.191956,10,297.55,64.26,APC,53:37.7,7/3/2024 6:53:34,NW
8136201,684,38.584644,-92.192528,10,292.7,64.82,APC,53:43.7,7/3/2024 6:53:37,NW
8136202,684,38.584808,-92.193115,10,289.67,65.38,APC,53:43.7,7/3/2024 6:53:40,W
8136209,684,38.584942,-92.193726,10,285.67,66.3,APC,53:49.7,7/3/2024 6:53:43,W
8136210,684,38.585041,-92.194344,10,281.58,66.12,APC,53:49.7,7/3/2024 6:53:46,W
8136211,684,38.585117,-92.194962,10,278.94,64.63,APC,53:50.3,7/3/2024 6:53:49,W
8136230,684,38.58519,-92.195534,10,279.27,58.89,APC,53:57.7,7/3/2024 6:53:52,W
8136231,684,38.585255,-92.196068,10,278.85,55.75,APC,53:57.7,7/3/2024 6:53:55,W
8136241,684,38.585308,-92.196503,10,278.86,42.78,APC,54:03.8,7/3/2024 6:53:58,W
8136242,684,38.585346,-92.196823,10,278.64,25.74,APC,54:03.8,7/3/2024 6:54:01,W
8136265,684,38.585373,-92.197052,10,278.58,14.08,APC,54:09.9,7/3/2024 6:54:04,W
8136266,684,38.585384,-92.197182,10,276.18,21.48,APC,54:10.0,7/3/2024 6:54:07,W
8136267,684,38.585434,-92.197456,10,283.14,32.6,APC,54:11.3,7/3/2024 6:54:10,W
8136278,684,38.585495,-92.19783,10,281.79,42.04,APC,54:17.7,7/3/2024 6:54:13,W
8136279,684,38.585594,-92.198273,10,285.96,49.26,APC,54:17.7,7/3/2024 6:54:16,W
8136288,684,38.585735,-92.198753,10,290.6,55.75,APC,54:23.7,7/3/2024 6:54:19,W
8136289,684,38.585915,-92.19928,10,293.6,61.49,APC,54:23.7,7/3/2024 6:54:22,NW
